번호,소재지전체주소,도로명전체주소,사업장명,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),위도,경도,geometry,구군,동
935,대구광역시 중구 동산동 562호,대구광역시 중구 달성로 18 (동산동),베네시움,그 밖의 대규모점포,342873.7088,264097.4821,35.8667295528512,128.582704646312,POINT (342873.7088 264097.4821),중구,동산동
936,대구광역시 중구 덕산동 38호,대구광역시 중구 종로 8 (덕산동),덕산시장,그 밖의 대규모점포,343755.7269,264103.2497,35.8665896480953,128.592457497653,POINT (343755.7269 264103.2497),중구,덕산동
937,대구광역시 중구 동인동4가 460호,,동국철물시장,그 밖의 대규모점포,,,,,POINT EMPTY,중구,동인동
938,대구광역시 중구 교동 67-12 교동시장,"대구광역시 중구 교동길 40, 교동시장 (교동)",교동시장,그 밖의 대규모점포,344114.1962,264837.5817,35.8731461889265,128.596584120913,POINT (344114.1962 264837.5817),중구,교동
939,대구광역시 중구 대봉동 55번지 61  호,,대구맨션마켓,그 밖의 대규모점포,,,,,POINT EMPTY,중구,대봉동
940,대구광역시 중구 대신동 115번지 400 호,,서문시장제5지구시장,그 밖의 대규모점포,,,35.8681409498908,128.578436647962,POINT EMPTY,중구,대신동
942,대구광역시 중구 대신동 115-379 서문시장 1지구,"대구광역시 중구 큰장로28길 10, 서문시장 1지구 (대신동)",서문시장제1지구포목시장,그 밖의 대규모점포,342609.2261,264390.3521,35.8693644271198,128.579849157629,POINT (342609.2261 264390.3521),중구,대신동
943,대구광역시 중구 대신동 115번지 377 호,,서문시장제4지구시장,그 밖의 대규모점포,,,35.8694501635708,128.580729817332,POINT EMPTY,중구,대신동
944,대구광역시 중구 남산동 698번지 22  호,,남문시장,그 밖의 대규모점포,,,35.8609895778292,128.591927217326,POINT EMPTY,중구,남산동
1581,대구광역시 수성구 범어동 2291 수성 범어W,"대구광역시 수성구 달구벌대로 2436, 1층 110~112호 (범어동, 수성 범어W)",GS THE FRESH 대구범어역점,구분없음,,,35.8579241690404,128.628708968141,POINT EMPTY,수성구,범어동
